Год;"Годовой бюджет (₽)
(Доходы)";"Исполнение бюджета (₽)
(Доходы)";"Дополнительные 
поступления (₽)";"Исполнение 
доп. доходов (₽)";"Годовой бюджет (₽)
(Расходы)";"Исполнение бюджета (₽)
(Доходы)";"Дополнительные 
расходы (₽)";"Исполнение 
доп. расходов (₽)"
2020;412374892;406582713;3287416;3114278;472819267;464502831;3142908;3019547
2021;437912654;431204378;3942578;3756834;493615482;484971326;3819764;3679512
2022;459508318;453374545;4473250;4123511;512351125;505303917;4164000;4001785
2023;492139833;485580442;6658533;6591800;594481870;467900716;6603043;6603043
2024;526922768;477124330;10980057;10443657;689816253;484181091;10475000;8531265
