"Дата","Плановые_доходы","Фактические_доходы","Дополнительные_поступления","Исполнение_доп_доходов","Плановые_расходы","Фактические_расходы","Дополнительные_расходы","Исполнение_доп_расходов"
2021-07-01,442322243.183479,435429208.348833,3999116.6059905,3756972.36301748,494838573.711869,492637595.768517,3818129.44517642,3649816.06363412
2021-08-01,443665551.268153,436726465.035527,4018254.35985422,3758284.69016063,495304207.293969,494898210.872957,3818424.66298891,3641763.57230291
2021-09-01,445015017.406022,438040750.638292,4039417.58436922,3762053.772876,495868580.542577,497050461.663252,3820980.81078721,3636660.76379442
2021-10-01,446377787.667729,439382519.626937,4063295.45343027,3769342.0250618,496564103.305245,499058842.381949,3826875.21790554,3635901.48177651
2021-11-01,447761008.123917,440762226.471268,4090577.14093213,3781211.86061623,497423185.429523,500887847.271595,3837185.21367813,3640879.56991708
2021-12-01,449171824.845231,442190325.641094,4121951.82076957,3798725.6934375,498478236.76296,502501970.574737,3852988.12743919,3652988.87188401
2022-01-01,450617383.902313,443677271.606222,4158108.66683735,3822945.93742382,499761667.153107,503865706.533922,3875361.28852295,3673623.23134519
2022-02-01,452104831.365807,445233518.836461,4199736.85303025,3854935.0064734,501305886.447514,504943549.391695,3905382.02626364,3704176.49196851
2022-03-01,453641313.306356,446869521.801618,4247525.55324303,3895755.31448444,503143304.493731,505699993.390605,3944127.66999547,3746042.49742184
2022-04-01,455233975.794603,448595734.971501,4302163.94137045,3946469.27535516,505306331.139308,506099532.773197,3992675.54905267,3800615.09137308
2022-05-01,456889964.901192,450422612.815918,4364341.19130729,4008139.30298375,507827376.231796,506106661.782018,4052102.99276947,3869288.1174901
2022-06-01,458616426.696767,452360609.804677,4434746.47694831,4081827.81126844,510738849.618744,505685874.659615,4123487.33048007,3953455.41944081
2022-07-01,460420249.058528,454419496.739646,4514054.93341659,4168563.72009553,514071909.833595,504803494.45453,4207872.46475378,4054450.58699932
2022-08-01,462302381.414487,456593320.060082,4602618.80408659,4268605.58707804,517828935.185331,503467906.753217,4305533.48256638,4172221.37038354
2022-09-01,464257834.743473,458860401.842627,4700467.4405841,4381441.60755563,521983523.758466,501729559.680037,4415976.65530015,4305329.68025509
2022-10-01,466281361.830869,461198380.495988,4807616.15576325,4506526.48285609,526508022.323412,499640730.165348,4538674.82757244,4452277.17338189
2022-11-01,468367715.462058,463584894.428868,4924080.26247815,4643314.91430721,531374777.650578,497253695.139508,4673100.8440006,4611565.50653183
2022-12-01,470511648.422424,465997582.049972,5049875.07358293,4791261.60323678,536556136.510373,494620731.532875,4818727.54920199,4781696.33647279
2023-01-01,472707913.497352,468414081.768005,5185015.90193171,4949821.25097259,542024445.673209,491794116.275807,4975027.78779395,4961171.31997267
2023-02-01,474951263.472225,470812031.991672,5329518.06037862,5118448.55884243,547752051.909494,488826126.298662,5141474.40439383,5148492.11379937
2023-03-01,477236451.132426,473169071.129675,5483396.86177776,5296598.22817409,553711301.989639,485769038.531799,5317540.24361898,5342160.37472077
2023-04-01,479558229.263339,475462837.590722,5646667.61898328,5483724.96029536,559874542.684052,482675129.905575,5502698.15008675,5540677.75950479
2023-05-01,481911350.650349,477670969.783515,5819345.64484928,5679283.45653402,566214120.763145,479596677.350347,5696420.96841449,5742545.9249193
2023-06-01,484290568.078839,479771106.11676,6001446.25222989,5882728.41821786,572702382.997327,476585957.796475,5898181.54321956,5946266.5277322
2023-07-01,486690634.334192,481740884.99916,6192984.75397923,6093514.54667468,579311676.157007,473695248.174317,6107452.71911929,6150341.22471139
2023-08-01,489106302.201793,483557944.839421,6393976.46295142,6311096.54323227,586014347.012596,470976825.414229,6323707.34073104,6353271.67262476
2023-09-01,491532324.467025,485199924.046248,6604436.69200059,6534929.1092184,592782742.334504,468482966.446571,6546418.25267216,6553559.5282402
2023-10-01,493963628.195846,486644922.504203,6824390.23015174,6764489.5544189,599590053.530161,466264713.757653,6775080.86262633,6749747.1197039
2023-11-01,496396657.340691,487875056.646996,7053944.34421349,6999451.9659394,606416823.477381,464362365.598558,7009386.96052123,6940730.7667878
